8/7/2020
11:21:36 AM

0, CH+=0, CH-=199, Range=0-5, y=(a-1.625)/.32
1, CH+=1, CH-=199, Range=0-5, y=(b-1.63)/.33


Time	v0	v1	y0	y1
0.478000	2.269817	1.707846	2.015054	0.235898
0.480000	1.358355	1.788798	-0.833265	0.481207
0.482000	1.834341	1.869750	0.654190	0.726517
0.484000	0.624122	1.788798	-3.127745	0.481207
0.486000	2.112843	1.328383	1.524510	-0.913990
0.488000	1.814086	1.480168	0.590894	-0.454035
0.490000	2.128034	1.854572	1.571982	0.680521
0.492000	1.429247	1.768560	-0.611730	0.419880
0.494000	1.505202	2.051893	-0.374370	1.278463
0.496000	1.130489	1.308145	-1.545345	-0.975317
0.498000	2.047015	1.434633	1.318798	-0.592022
0.500000	2.290072	1.743263	2.078350	0.343221
0.502000	1.424183	1.743263	-0.627554	0.343221
0.504000	1.581157	1.935524	-0.137010	0.925830
0.506000	0.548166	1.591478	-3.365105	-0.116735
0.508000	2.092589	1.404276	1.461214	-0.684013
0.510000	1.834341	1.520645	0.654190	-0.331380
0.512000	1.884978	1.798917	0.812430	0.511871
0.514000	1.555839	1.854572	-0.216130	0.680521
0.516000	1.333037	2.016476	-0.912385	1.171140
0.518000	1.500138	1.308145	-0.390194	-0.975317
0.520000	1.920423	1.475109	0.923198	-0.469367
0.522000	2.148289	1.763501	1.635278	0.404548
0.524000	1.490011	1.758441	-0.421842	0.389216
0.526000	1.181126	2.036714	-1.387105	1.232467
0.528000	0.462084	1.424514	-3.634113	-0.622685
0.530000	2.052079	1.434633	1.334622	-0.592022
0.532000	1.859659	1.551002	0.733310	-0.239389
0.534000	1.981188	1.748322	1.113086	0.358552
0.536000	1.581157	1.920346	-0.137010	0.879835
0.538000	1.150744	1.829274	-1.482049	0.603862
0.540000	1.890041	1.368859	0.828254	-0.791335
0.542000	1.854596	1.500406	0.717486	-0.392708
0.544000	2.072334	1.743263	1.397918	0.343221
0.546000	1.530520	1.824215	-0.295250	0.588530
0.548000	1.388737	2.056952	-0.738321	1.293795
0.550000	0.760841	1.343562	-2.700497	-0.867995
0.552000	2.153353	1.480168	1.651102	-0.454035
0.554000	1.798895	1.581359	0.543422	-0.147398
0.556000	2.041952	1.763501	1.302974	0.404548
0.558000	1.505202	1.986119	-0.374370	1.079149
0.560000	0.786159	1.626894	-2.621377	-0.009412
0.562000	2.133098	1.434633	1.587806	-0.592022
0.564000	1.798895	1.500406	0.543422	-0.392708
0.566000	2.224244	1.717965	1.872638	0.266561
0.568000	1.262145	1.915286	-1.133921	0.864503
0.570000	1.454565	1.965881	-0.532610	1.017822
0.572000	1.226699	1.338502	-1.244689	-0.883326
0.574000	2.067270	1.500406	1.382094	-0.392708
0.576000	1.884978	1.545942	0.812430	-0.254721
0.578000	1.940678	1.849512	0.986494	0.665189
0.580000	1.110235	1.981060	-1.608641	1.063817
0.582000	0.689949	1.459930	-2.922033	-0.515362
0.584000	2.097652	1.490287	1.477038	-0.423371
0.586000	1.550775	1.475109	-0.231954	-0.469367
0.588000	2.492619	1.748322	2.711310	0.358552
0.590000	1.368482	1.986119	-0.801617	1.079149
0.592000	1.333037	1.839393	-0.912385	0.634526
0.594000	1.672303	1.399216	0.147822	-0.699344
0.596000	1.849532	1.515585	0.701662	-0.346712
0.598000	2.077397	1.551002	1.413742	-0.239389
0.600000	1.626730	1.935524	0.005406	0.925830
0.602000	1.008961	1.950703	-1.925121	0.971826
0.604000	0.872242	1.399216	-2.352369	-0.699344
0.606000	2.077397	1.530764	1.413742	-0.300717
0.608000	1.327973	1.409335	-0.928209	-0.668681
0.610000	2.523001	1.844453	2.806254	0.649857
0.612000	1.120362	1.970941	-1.576993	1.033153
0.614000	1.206445	1.687608	-1.307985	0.174570
0.616000	1.864723	1.475109	0.749134	-0.469367
0.618000	1.611539	1.485228	-0.042066	-0.438703
0.620000	2.441982	1.642073	2.553070	0.036584
0.622000	1.343164	1.986119	-0.880737	1.079149
0.624000	1.322909	1.905167	-0.944033	0.833839
0.626000	1.069725	1.409335	-1.735233	-0.668681
0.628000	2.082461	1.551002	1.429566	-0.239389
0.630000	1.565966	1.378978	-0.184482	-0.760672
0.632000	2.462237	1.955762	2.616366	0.987158
0.634000	1.003898	1.925405	-1.940945	0.895167
0.636000	1.095044	1.551002	-1.656113	-0.239389
0.638000	2.143225	1.551002	1.619454	-0.239389
0.640000	1.408992	1.399216	-0.675026	-0.699344
0.642000	2.766058	1.763501	3.565806	0.404548
0.644000	0.912751	1.996238	-2.225777	1.109813
0.646000	1.606475	1.824215	-0.057890	0.588530
0.648000	1.287464	1.449811	-1.054801	-0.546026
0.650000	1.768513	1.510525	0.448478	-0.362044
0.652000	2.138162	1.429573	1.603630	-0.607353
0.654000	1.692558	2.046833	0.211118	1.263131
0.656000	1.029216	1.869750	-1.861825	0.726517
0.658000	0.933006	1.490287	-2.162481	-0.423371
0.660000	2.006506	1.576299	1.192206	-0.162730
0.662000	1.403928	1.308145	-0.690849	-0.975317
0.664000	2.968605	1.910227	4.198766	0.849171
0.666000	0.877306	1.940584	-2.336545	0.941162
0.668000	1.631794	1.758441	0.021230	0.389216
0.670000	1.667239	1.510525	0.131998	-0.362044
0.672000	1.601412	1.439692	-0.073714	-0.576690
0.674000	2.528065	1.520645	2.822078	-0.331380
0.676000	1.125426	2.021536	-1.561169	1.186472
0.678000	1.302655	1.819155	-1.007329	0.573198
0.680000	0.988706	1.475109	-1.988417	-0.469367
0.682000	1.667239	1.556061	0.131998	-0.224057
0.684000	1.464692	1.267669	-0.500962	-1.097972
0.686000	2.553383	1.996238	2.901198	1.109813
0.688000	1.044407	1.849512	-1.814353	0.665189
0.690000	1.388737	1.687608	-0.738321	0.174570
0.692000	1.596348	1.571240	-0.089538	-0.178062
0.694000	1.733067	1.363800	0.337710	-0.806667
0.696000	2.796440	1.687608	3.660750	0.174570
0.698000	0.877306	1.920346	-2.336545	0.879835
0.700000	1.560902	1.793858	-0.200306	0.496539
0.702000	1.089980	1.495347	-1.671937	-0.408039
0.704000	1.814086	1.475109	0.590894	-0.469367
0.706000	1.895105	1.277788	0.844078	-1.067309
0.708000	2.026761	2.001298	1.255502	1.125144
0.710000	1.272273	1.778679	-1.102273	0.450544
0.712000	1.368482	1.626894	-0.801617	-0.009412
0.714000	1.576093	1.576299	-0.152834	-0.162730
0.716000	1.576093	1.262610	-0.152834	-1.113304
0.718000	2.771122	1.864691	3.581630	0.711185
0.720000	0.907688	1.864691	-2.241601	0.711185
0.722000	1.707749	1.788798	0.258590	0.481207
0.724000	0.912751	1.561121	-2.225777	-0.208726
0.726000	1.915360	1.399216	0.907374	-0.699344
0.728000	2.447046	1.470049	2.568894	-0.484699
0.730000	1.403928	1.970941	-0.690849	1.033153
0.732000	1.378610	1.758441	-0.769969	0.389216
0.734000	1.155808	1.626894	-1.466225	-0.009412
0.736000	1.712813	1.515585	0.274414	-0.346712
0.738000	1.692558	1.222134	0.211118	-1.235959
0.740000	2.502747	1.960822	2.742958	1.002490
0.742000	1.003898	1.814096	-1.940945	0.557866
0.744000	1.819150	1.783739	0.606718	0.465875
0.746000	1.054534	1.576299	-1.782705	-0.162730
0.748000	1.890041	1.313205	0.828254	-0.959986
0.750000	2.629338	1.667370	3.138558	0.113243
0.752000	1.064662	1.915286	-1.751057	0.864503
0.754000	1.500138	1.763501	-0.390194	0.404548
0.756000	0.892497	1.677489	-2.289073	0.143907
0.758000	1.692558	1.419454	0.211118	-0.638017
0.760000	1.955869	1.303086	1.033966	-0.990649
0.762000	2.153353	1.986119	1.651102	1.079149
0.764000	1.201381	1.788798	-1.323809	0.481207
0.766000	1.591284	1.829274	-0.105362	0.603862
0.768000	1.191254	1.505466	-1.355457	-0.377376
0.770000	1.945742	1.272729	1.002318	-1.082640
0.772000	2.492619	1.839393	2.711310	0.634526
0.774000	0.968452	1.859631	-2.051713	0.695853
0.776000	1.535584	1.778679	-0.279426	0.450544
0.778000	0.710204	1.647132	-2.858737	0.051916
0.780000	1.778640	1.323324	0.480126	-0.929322
0.782000	2.133098	1.449811	1.587806	-0.546026
0.784000	1.819150	1.965881	0.606718	1.017822
0.786000	1.555839	1.768560	-0.216130	0.419880
