StartTime: 2020-12-15 14:02:19.073
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)	hx	hy	hz
0x50	 14:02:20.838	-0.0150	-0.0238	1.0005	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	304	4525	-1819
0x50	 14:02:20.855	-0.0155	-0.0226	1.0002	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.27	4.07	304	4525	-1819
0x50	 14:02:20.897	-0.0155	-0.0226	1.0002	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.27	4.07	304	4525	-1819
0x50	 14:02:20.897	-0.0165	-0.0229	1.0002	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.27	4.07	304	4526	-1818
0x50	 14:02:20.897	-0.0165	-0.0229	1.0002	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.27	4.07	304	4526	-1817
0x50	 14:02:20.898	-0.0159	-0.0232	1.0005	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.31	4.07	304	4526	-1817
0x50	 14:02:20.901	-0.0159	-0.0232	1.0005	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.31	4.07	304	4526	-1817
0x50	 14:02:20.916	-0.0154	-0.0229	1.0005	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	303	4526	-1816
0x50	 14:02:20.927	-0.0154	-0.0229	1.0005	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	304	4525	-1816
0x50	 14:02:20.935	-0.0157	-0.0228	1.0006	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.26	4.07	304	4526	-1815
0x50	 14:02:20.947	-0.0157	-0.0228	1.0006	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.26	4.07	304	4526	-1815
0x50	 14:02:21.035	-0.0151	-0.0236	1.0000	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	304	4526	-1816
0x50	 14:02:21.035	-0.0151	-0.0236	1.0000	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	304	4527	-1817
0x50	 14:02:21.035	-0.0157	-0.0231	1.0000	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.28	4.07	304	4527	-1816
0x50	 14:02:21.035	-0.0157	-0.0231	1.0000	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.28	4.07	305	4527	-1816
0x50	 14:02:21.035	-0.0160	-0.0226	1.0007	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.27	4.07	304	4526	-1816
0x50	 14:02:21.035	-0.0160	-0.0226	1.0007	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.27	4.07	304	4527	-1817
